                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84066,                0.52272,                0.91408,                0.88577,                0.75431,                0.85317,                0.60085,                0.86057,                0.52937,                0.93586,             0.00019159,             0.00019159,             0.00019159
                     37,                0.82344,                0.50969,                0.90574,                0.85895,                0.79413,                0.86502,                0.60615,                0.85449,                0.52394,                0.93536,             0.00017326,             0.00017326,             0.00017326
                     38,                0.81243,                0.50189,                0.90441,                0.88582,                0.78506,                0.86145,                0.61234,                0.84609,                0.51803,                0.93044,             0.00015494,             0.00015494,             0.00015494
                     39,                0.80436,                0.49585,                0.90203,                0.90475,                 0.7507,                0.86355,                0.61491,                0.83369,                0.51176,                0.92333,             0.00013661,             0.00013661,             0.00013661
                     40,                0.79836,                0.49007,                 0.8996,                0.87056,                 0.7971,                0.87158,                0.62036,                0.83269,                0.50897,                0.92399,             0.00011829,             0.00011829,             0.00011829
                     41,                0.78855,                0.48197,                0.89687,                 0.9175,                0.78117,                0.87533,                0.62974,                0.82629,                0.50539,                0.92394,              9.996e-05,              9.996e-05,              9.996e-05
                     42,                0.78202,                0.48216,                0.89347,                 0.8864,                0.79199,                0.88143,                0.63394,                0.82066,                0.50167,                0.92117,             8.1634e-05,             8.1634e-05,             8.1634e-05
                     43,                0.77677,                0.47606,                0.89105,                0.91128,                 0.7817,                 0.8839,                 0.6363,                 0.8216,                0.49949,                0.92128,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     44,                0.76804,                0.47139,                 0.8885,                0.90168,                0.79248,                0.88098,                0.63839,                 0.8191,                0.49716,                0.92159,             4.4982e-05,             4.4982e-05,             4.4982e-05
                     45,                0.76268,                 0.4663,                0.88712,                0.91433,                0.78728,                0.87946,                 0.6354,                0.81818,                0.49514,                0.92086,             2.6656e-05,             2.6656e-05,             2.6656e-05
