                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.0793,                0.77036,                 1.0031,                0.78979,                 0.6094,                0.71502,                0.46642,                0.97225,                0.67629,                 0.9809,             0.00059738,             0.00059738,             0.00059738
                     12,                 1.0702,                0.75564,                0.99972,                 0.7035,                0.62522,                0.68346,                0.45855,                0.96016,                0.66003,                 0.9747,             0.00057382,             0.00057382,             0.00057382
                     13,                 1.0522,                0.73097,                0.99323,                0.73597,                0.64154,                0.71741,                0.47495,                0.95153,                0.64534,                0.97095,             0.00055026,             0.00055026,             0.00055026
                     14,                 1.0389,                0.72353,                0.98799,                0.71878,                0.67817,                0.73366,                  0.488,                0.92809,                0.61337,                0.96531,             0.00052669,             0.00052669,             0.00052669
                     15,                 1.0313,                0.71142,                0.98366,                0.80666,                0.63171,                0.74277,                0.49882,                0.92159,                0.60723,                0.95778,             0.00050313,             0.00050313,             0.00050313
                     16,                 1.0224,                 0.7001,                0.97947,                0.83739,                0.61816,                0.74042,                0.49956,                0.92479,                0.61433,                0.96334,             0.00047957,             0.00047957,             0.00047957
                     17,                 1.0084,                0.68916,                0.97774,                0.77438,                0.67868,                0.73327,                0.49916,                0.91897,                0.61065,                0.95947,             0.00045601,             0.00045601,             0.00045601
                     18,                 1.0041,                0.68506,                0.97336,                0.83641,                0.66067,                 0.7704,                0.52412,                0.91172,                 0.5957,                0.95952,             0.00043245,             0.00043245,             0.00043245
                     19,                0.99285,                0.67064,                 0.9696,                0.75327,                0.72218,                0.76603,                0.51485,                0.90182,                 0.5842,                0.95467,             0.00040888,             0.00040888,             0.00040888
                     20,                0.98662,                0.66937,                 0.9684,                0.76528,                0.72541,                 0.7766,                0.52451,                 0.8932,                0.57612,                0.95084,             0.00038532,             0.00038532,             0.00038532
                     21,                0.97959,                0.66031,                0.96655,                0.86578,                0.70464,                0.79756,                0.54286,                0.88354,                0.56636,                0.94846,             0.00036176,             0.00036176,             0.00036176
                     22,                  0.969,                0.65002,                0.96088,                0.86792,                0.72013,                0.80168,                0.54977,                0.87804,                0.55867,                0.94647,              0.0003382,              0.0003382,              0.0003382
                     23,                0.96578,                0.64772,                0.96017,                0.89098,                0.68588,                0.80887,                0.55495,                0.87469,                0.55592,                0.94366,             0.00031464,             0.00031464,             0.00031464
                     24,                0.95314,                0.63424,                0.95755,                0.83226,                0.71513,                0.79993,                0.54965,                0.86627,                 0.5477,                0.94241,             0.00029107,             0.00029107,             0.00029107
                     25,                0.94717,                 0.6299,                0.95152,                0.86407,                0.71555,                0.80883,                0.56573,                0.85451,                0.53869,                0.93099,             0.00026751,             0.00026751,             0.00026751
                     26,                0.88394,                0.55957,                0.92602,                0.75822,                0.72483,                0.78591,                0.54868,                0.86604,                0.54166,                0.93844,             0.00024395,             0.00024395,             0.00024395
                     27,                0.86454,                 0.5444,                0.91995,                0.81485,                0.69385,                0.78828,                0.55125,                0.85524,                0.53793,                0.93474,             0.00022039,             0.00022039,             0.00022039
                     28,                0.85828,                0.53533,                0.91688,                0.90086,                0.73334,                0.82261,                0.57654,                0.85063,                0.52761,                0.93289,             0.00019683,             0.00019683,             0.00019683
                     29,                0.84749,                  0.529,                0.91482,                0.87108,                0.73626,                0.82178,                0.58027,                0.83751,                0.52288,                0.92814,             0.00017326,             0.00017326,             0.00017326
                     30,                0.83675,                0.52084,                0.91185,                0.83268,                0.74925,                0.83501,                0.58332,                0.83957,                0.51654,                0.92768,              0.0001497,              0.0001497,              0.0001497
                     31,                0.82837,                0.51228,                0.90774,                0.80873,                0.76359,                0.84362,                0.59043,                0.82953,                0.51399,                0.92769,             0.00012614,             0.00012614,             0.00012614
                     32,                0.81539,                0.50549,                0.90291,                 0.8343,                 0.7403,                0.84583,                0.59591,                0.82626,                0.51026,                0.92444,             0.00010258,             0.00010258,             0.00010258
                     33,                 0.8049,                0.49977,                0.90037,                0.85322,                0.72414,                0.84209,                0.59469,                0.81579,                0.50648,                0.92058,             7.9016e-05,             7.9016e-05,             7.9016e-05
                     34,                0.79618,                0.49236,                0.89747,                0.84088,                0.75271,                0.84339,                0.59887,                0.81227,                0.49937,                 0.9201,             5.5454e-05,             5.5454e-05,             5.5454e-05
                     35,                0.79206,                0.48652,                0.89569,                0.90361,                0.74229,                0.85622,                0.60789,                0.80567,                0.49564,                0.91826,             3.1892e-05,             3.1892e-05,             3.1892e-05
