                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4165,                 1.7744,                 1.1133,                 0.5195,                0.39271,                0.37848,                0.22887,                 1.2181,                 1.1454,                 1.0384,             0.00027701,             0.00027701,             0.00027701
                      2,                 1.2868,                 1.1754,                 1.0747,                0.69318,                0.39589,                0.43748,                0.26771,                 1.1602,                 1.0048,                 1.0458,             0.00053898,             0.00053898,             0.00053898
                      3,                 1.2492,                 1.0512,                 1.0628,                0.58962,                0.44428,                0.47864,                0.28819,                 1.1458,                 0.9404,                 1.0477,             0.00078525,             0.00078525,             0.00078525
                      4,                 1.2306,                0.98077,                 1.0581,                0.74003,                0.43427,                0.54564,                0.34012,                 1.1097,                0.93361,                 1.0264,             0.00076231,             0.00076231,             0.00076231
                      5,                 1.1868,                 0.9206,                 1.0438,                0.75203,                0.51283,                0.61332,                0.39468,                 1.0656,                0.80295,                 1.0173,             0.00073875,             0.00073875,             0.00073875
                      6,                 1.1623,                0.87963,                 1.0312,                0.72715,                0.54354,                0.63246,                0.41551,                 1.0219,                0.74923,                0.99474,             0.00071519,             0.00071519,             0.00071519
                      7,                 1.1415,                0.85219,                 1.0263,                0.75544,                0.53652,                0.63441,                0.41623,                 1.0305,                0.74499,                 0.9985,             0.00069163,             0.00069163,             0.00069163
                      8,                 1.1209,                0.82447,                 1.0195,                0.78606,                0.58721,                0.66917,                 0.4448,                 1.0201,                0.71508,                0.99422,             0.00066807,             0.00066807,             0.00066807
                      9,                 1.1016,                0.79155,                 1.0102,                 0.7083,                0.56886,                0.64094,                0.41359,                0.99488,                0.71004,                0.98785,              0.0006445,              0.0006445,              0.0006445
                     10,                 1.0926,                0.78192,                 1.0053,                0.71723,                0.58636,                0.67734,                0.44992,                0.98029,                0.69478,                0.98408,             0.00062094,             0.00062094,             0.00062094
